,IELTS_R,IELTS_L,IELTS_S,IELTS_W,IELTS_Z
0,7,7,6,7,7
1,8,7.5,6.5,6,7
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,7.5,6,5.5,6,6.5
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,8,7,6,6,7
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,7.5,8.5,7.5,6.5,6.5
23,8.5,7,6,6,6.5
24,8.5,7,6,6,6.5
25,7.5,7,6,6,6.5
26,7.5,7,6,6,6.5
27,7.5,7,6,6,6.5
28,7.5,7,6,6,6.5
29,7,6.5,6,6.5,6.5
30,0,0,0,0,0
31,8.5,8,7,6,7.5
32,8,6,5.5,6.5,6.5
33,0,0,0,0,0
34,0,0,0,0,6.5
35,8.5,7.5,6.5,6.5,7
36,8.5,8,7,6.5,7.5
37,7,6,5.5,6,6.5
38,8.5,8,7,6.5,7.5
39,0,0,0,0,0
40,0,0,0,0,0
41,8,7.5,6.5,6,7
42,8.5,8,7,6.5,7.5
43,0,0,0,0,0
44,8.5,7.5,6.5,6.5,7.5
45,9,9,9,7,8
46,8,8,7,6.5,7.5
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,8.5,8.5,8,6,7.5
52,7.5,7.5,6.5,6.5,7
53,8,7.5,6.5,6,7
54,0,0,0,0,6.5
55,0,0,0,0,6.5
56,8.5,7.5,6.5,6,7
57,0,0,0,0,0
58,7.5,7,6,6,6.5
59,8,7.5,6.5,6,7
60,7.5,6.5,6,5.5,6.5
61,0,0,0,0,6.5
62,0,0,0,0,6.5
63,0,0,0,0,6.5
64,0,0,0,0,6.5
65,7.5,7.5,6.5,6.5,7
66,0,0,0,0,7.5
67,7.5,6.5,6,6.5,6.5
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,8
71,8,7.5,6.5,6,7
72,0,0,0,0,0
73,0,0,0,0,6.5
74,0,0,0,0,0
75,0,0,0,0,0
76,8.5,8.5,8,6.5,7.5
77,9,8.5,8.5,6.5,7.5
78,9,8.5,8.5,6.5,7.5
79,7.5,8,7,6.5,7
80,0,0,0,0,6.5
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,9,8,7.5,7,7.5
86,0,0,0,0,6.5
87,8,8.5,8,7,7.5
88,8.5,7,6,6.5,7
89,8.5,7,6,6.5,7
90,8.5,7,6,6.5,7
91,8.5,7,6,6.5,7
92,8.5,7,6,6.5,7
93,8.5,7,6,6.5,7
94,7,7.5,6.5,5.5,6.5
95,8,7.5,6.5,7,7
96,8,7.5,6.5,7,7
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,7,8.5,7.5,6.5,7
103,7,6,5.5,5.5,6
104,7,6,5.5,5.5,6
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,6.5,7.5,6,6,6.5
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,7.5
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,6.5
134,0,0,0,0,6.5
135,0,0,0,0,6.5
136,0,0,0,0,6.5
137,0,0,0,0,6.5
138,0,0,0,0,6.5
139,0,0,0,0,6.5
140,0,0,0,0,0
141,6,7,6,6,5.5
142,5.5,6,5.5,5,5.5
143,8,8,7,7,7.5
144,8,8,7,7,7.5
145,8,8,7,7,7.5
146,8,8,7,7,7.5
147,8,8,7,7,7.5
148,8,8,7,7,7.5
149,8,8,7,7,7.5
150,8,8,7,7,7.5
151,8,8,7,7,7.5
152,8,8,7,7,7.5
153,8,8,7,7,7.5
154,8,8,7,7,7.5
155,8,8,7,7,7.5
156,0,0,0,0,0
157,8,7,6,6,7
158,8,7,6,6,7
159,8,7,6,6,7
160,8,7,6,6,7
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,7.5,7.5,6.5,7,7
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,7,7,6,6.5,6.5
173,0,0,0,0,0
174,0,0,0,0,0
175,8.5,8.5,8,7,7.5
176,7.5,8,7,6.5,7
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,7,5,0,5.5,6
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,6,7.5,6,6,6.5
198,0,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,8,7,6,6,7
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,8,9,8.5,6.5,7.5
213,8,9,8.5,6.5,7.5
214,8,9,8.5,6.5,7.5
215,8,9,8.5,6.5,7.5
216,0,0,0,0,0
217,0,0,0,0,0
218,6,7.5,6,6,6.5
219,6.5,7.5,6,6,6.5
220,6.5,7.5,6,6,6.5
221,0,0,0,0,0
222,0,0,0,0,0
223,0,0,0,0,0
224,0,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,7,6.5,6,6.5,6.5
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,8.5,8.5,8,6,7.5
242,8,7.5,6.5,6,7
243,8,7.5,6.5,6,7
244,8,7.5,6.5,6,7
245,8,7.5,6.5,6,7
246,8,7.5,6.5,6,7
